smear_time_hours,acceleration_rate_c_per_min,velocity_start_c,velocity_end_c,coordinate_velocity_range_c,positive_energy_required_J,average_tidal_force_g,comfort_rating,acceleration_duration_min,smear_efficiency
0.25,4.0,1.0,10.0,9.0,2.11275e+57,6.148745810639323,UNCOMFORTABLE,2.25,170.39403620873267
0.5,2.0,1.0,20.0,19.0,1.8832166666666668e+58,8.400250907889534,UNCOMFORTABLE,9.5,20.1782411299815
1.0,1.0,1.0,30.0,29.0,8.774433333333333e+58,7.246338260216856,UNCOMFORTABLE,29.0,3.3050567368073147
2.0,0.5,1.0,50.0,49.0,5.010086666666666e+59,6.54580768739456,UNCOMFORTABLE,98.0,0.4890134967725109
4.0,0.25,1.0,100.0,99.0,9.439116923076923e+59,6.8286959997034815,UNCOMFORTABLE,396.0,0.26220673185529414
6.0,0.167,1.0,150.0,149.0,2.22365216e+60,6.796873730621008,UNCOMFORTABLE,892.2155688622754,0.11167813824502719
8.0,0.125,1.0,200.0,199.0,4.020036648648648e+60,6.686782550088831,UNCOMFORTABLE,1592.0,0.061877545341189444
12.0,0.083,1.0,300.0,299.0,9.17459442622951e+60,6.448010271669504,UNCOMFORTABLE,3602.4096385542166,0.02715833039489102
24.0,0.042,1.0,500.0,499.0,2.578377272180451e+61,4.7960316732204165,UNCOMFORTABLE,11880.95238095238,0.008063857407912932
48.0,0.021,1.0,1000.0,999.0,1.03748869299639e+62,4.380895349292622,UNCOMFORTABLE,47571.428571428565,0.0020060459589097824
