coordinate_velocity_c,positive_energy_joules,efficiency_factor,scaling_factor,t_stress_tensor,lqg_correction_factor,earth_proxima_travel_days,energy_per_ly_TJ,viable_operation
1.0,189799410.2713649,189799410.2713649,1.0,251.45265806755717,4207567.749111473,1548.66,0.00018979941027136489,True
2.0,409046679.41544396,204523339.70772198,2.1551525309304767,540.2455123002211,6800700.299209229,774.33,0.000409046679415444,True
3.0,1077227817.8991761,359075939.29972535,2.6335082818386626,1415.5491664290985,5359144.785826625,516.22,0.0010772278178991762,True
4.0,3455414130.036317,863853532.5090792,3.2076911425988897,4508.909438395026,2804717.2808144954,387.165,0.0034554141300363168,True
4.5,22110603054.811626,4913467345.513695,6.398828685283879,28730.115635446808,541885.6602041435,344.1466666666667,0.022110603054811627,True
5.5,5742077022.918579,1044014004.1670144,0.25969789284734185,7387.990435779874,2994976.997397804,281.57454545454544,0.005742077022918579,True
7.0,18703224117.31561,2671889159.6165156,3.257222785877774,23630.653513161207,1419667.9895273193,221.23714285714286,0.01870322411731561,True
7.5,14333663439.455175,1911155125.26069,0.7663739336890555,17984.7121329428,2097573.8001170456,206.488,0.014333663439455175,True
9.0,20184409590.22662,2242712176.691847,1.4081821912091603,24742.191387781608,2068679.8661417656,172.07333333333335,0.02018440959022662,True
9.5,38186432142.10687,4019624436.0112495,1.891877588562061,46409.73152618602,1205317.6472072557,163.01684210526318,0.038186432142106874,True
11.0,39515079570.56288,3592279960.960262,1.034793704306063,46700.13103032175,1516896.3311038858,140.78727272727272,0.03951507957056288,True
11.5,41119840341.97532,3575638290.6065493,1.0406113511310735,48111.42273617173,1579249.2405026297,134.66608695652175,0.04111984034197532,True
